kol,contract_address,call_date,reached_2x,reached_5x,max_roi_percent,current_roi_percent,max_pullback_percent,time_to_2x_formatted,time_to_5x_formatted,analysis_success
kariusgemscalls,HPDJvNg87k8Z5vH2G76EkTTyDm3NnJFiY1h8aWVVpump,2025-05-23T03:59:52+00:00,False,False,0,0.0,0,N/A,N/A,True
kariusgemscalls,6sXDVuKX1QGQwoz4p97ngtSKttdC7rwMpnJa97YCpump,2025-05-23T03:34:23+00:00,False,False,0,-12.59,12.59,N/A,N/A,True
kariusgemscalls,fNYmXzgGMrmnaFGAsvp2chr48tpPiHUmgQc9vcCpump,2025-05-23T01:41:24+00:00,True,True,438.89,290.12,30.0,33m 36s,1h 48m 36s,True
kariusgemscalls,9ZX5qzMKmd2oAP7L4ddMHrU4s8Jz3oRK5ThFUBfdpump,2025-05-23T01:28:11+00:00,False,False,21.2,-25.09,46.03,N/A,N/A,True
kariusgemscalls,CCZkNZFU1WdLRsdP98W1WDTe4LLuxCNp8kLgPyKZpump,2025-05-23T01:24:42+00:00,True,False,173.64,14.11,66.08,20m 18s,N/A,True
kariusgemscalls,FFd2H7xBG75MdJenwTBD3fg64dSz2a4nxSMdVf1Fpump,2025-05-23T01:18:41+00:00,False,False,78.22,-59.53,86.68,N/A,N/A,True
kariusgemscalls,FHR7jgEhcsyBr65FnuzqYWYzfnN2cSJe2JNWiKubpump,2025-05-23T01:09:06+00:00,False,False,0,-93.1,94.38,N/A,N/A,True
kariusgemscalls,6uF7zYerSJ9zHzvFFWWN1pcDW6v5VyqBGmz8rQR5Tra5,2025-05-23T00:29:26+00:00,False,False,86.81,0.81,57.13,N/A,N/A,True
kariusgemscalls,DLuL2JifaipZPbc52H5eADTX2BDVZmRHJ5fRWSxgpump,2025-05-22T22:45:01+00:00,False,False,1.34,1.34,2.77,N/A,N/A,True
kariusgemscalls,8duQTK1731JsWBPEtnAuXYBok7MczZdPppy4HEFcpump,2025-05-22T22:34:58+00:00,False,False,32.01,7.12,23.69,N/A,N/A,True
kariusgemscalls,CxvuSvXgdqP5QjtGqpqjdcRbAZWqeNTtSsqvDaSEpump,2025-05-22T17:39:45+00:00,True,True,424.62,-99.42,99.9,1h 5m 15s,3h 20m 15s,True
